water_year,mag_mean,mag_high,mag_low,freq_high,freq_low,dur_high_avg,dur_high_max,dur_high_count,dur_low_avg,dur_low_max,dur_low_count
all_years,63.97225442834139,111.0,37.7,620,609,19.375,58,32,8.458333333333334,149,72
2008,65.33360655737704,156.0,35.849999999999994,37,37,7.4,21,5,3.3636363636363638,8,11
2009,68.68191780821917,154.00000000000023,41.1,37,36,37.0,37,1,3.0,6,12
2010,55.34986301369863,70.94000000000003,40.1,37,35,7.4,27,5,5.833333333333333,11,6
2011,77.6791780821918,202.4000000000002,35.3,37,35,18.5,35,2,2.3333333333333335,8,15
2012,72.16038251366119,131.5,45.45,37,37,9.25,19,4,9.25,30,4
2013,56.43013698630137,99.24000000000004,40.14,37,37,12.333333333333334,28,3,9.25,27,4
2014,65.81835616438356,122.20000000000005,38.44,37,37,9.25,33,4,2.8461538461538463,8,13
2015,49.79369863013699,69.22000000000003,37.94,37,37,18.5,36,2,7.4,15,5
2016,44.40846994535519,75.9,33.4,37,31,9.25,26,4,1.9375,7,16
2017,79.48054794520547,170.80000000000007,39.74,37,37,6.166666666666667,17,6,3.3636363636363638,10,11
2018,84.96027397260274,182.80000000000007,47.6,37,36,12.333333333333334,27,3,5.142857142857143,10,7
2019,72.0882191780822,122.0,48.2,36,36,18.0,27,2,4.5,11,8
2020,60.354644808743174,95.05000000000001,43.150000000000006,37,37,6.166666666666667,29,6,3.0833333333333335,10,12
2021,48.39643835616439,66.48000000000003,38.4,37,35,12.333333333333334,29,3,3.5,13,10
2022,59.024109589041096,97.68000000000005,38.0,37,36,18.5,34,2,4.5,15,8
2023,68.04273972602739,136.20000000000016,38.8,37,36,37.0,37,1,5.142857142857143,18,7
2024,59.57513661202185,89.44999999999999,41.650000000000006,37,37,18.5,25,2,3.3636363636363638,9,11
